jobName,repetition,sortType,size,time,partition
cmp625, 4, Hybrid_1000, 100000, 0.7552, grace1
cmp625, 4, Hybrid_5000, 100000, 3.3925, grace1
cmp625, 4, NativeSorted, 100000, 0.0114, grace1
cmp625, 4, BruteForce, 500000, 3912.1498, grace1
cmp625, 4, Hybrid_5, 500000, 0.5432, grace1
cmp625, 4, Hybrid_10, 500000, 0.5452, grace1
cmp625, 4, Hybrid_20, 500000, 0.5384, grace1
cmp625, 4, Hybrid_30, 500000, 0.5479, grace1
cmp625, 4, Hybrid_50, 500000, 0.6035, grace1
cmp625, 4, Hybrid_100, 500000, 0.7689, grace1
cmp625, 4, Hybrid_500, 500000, 2.0499, grace1
cmp625, 4, Hybrid_1000, 500000, 3.7305, grace1
cmp625, 4, Hybrid_5000, 500000, 17.6213, grace1
cmp625, 4, NativeSorted, 500000, 0.0657, grace1
cmp625, 4, BruteForce, 1000000, 16352.7157, grace1
cmp625, 4, Hybrid_5, 1000000, 1.1663, grace1
cmp625, 4, Hybrid_10, 1000000, 1.1359, grace1
cmp625, 4, Hybrid_20, 1000000, 1.1461, grace1
cmp625, 4, Hybrid_30, 1000000, 1.1791, grace1
cmp625, 4, Hybrid_50, 1000000, 1.2760, grace1
cmp625, 4, Hybrid_100, 1000000, 1.5613, grace1
cmp625, 4, Hybrid_500, 1000000, 4.2170, grace1
cmp625, 4, Hybrid_1000, 1000000, 7.6404, grace1
cmp625, 4, Hybrid_5000, 1000000, 35.7348, grace1
cmp625, 4, NativeSorted, 1000000, 0.1411, grace1
cmp625, 5, BruteForce, 1000, 0.0100, grace1
cmp625, 5, Hybrid_5, 1000, 0.0005, grace1
cmp625, 5, Hybrid_10, 1000, 0.0005, grace1
cmp625, 5, Hybrid_20, 1000, 0.0005, grace1
cmp625, 5, Hybrid_30, 1000, 0.0005, grace1
cmp625, 5, Hybrid_50, 1000, 0.0006, grace1
cmp625, 5, Hybrid_100, 1000, 0.0008, grace1
cmp625, 5, Hybrid_500, 1000, 0.0025, grace1
cmp625, 5, Hybrid_1000, 1000, 0.0098, grace1
cmp625, 5, Hybrid_5000, 1000, 0.0098, grace1
cmp625, 5, NativeSorted, 1000, 0.0001, grace1
cmp625, 5, BruteForce, 2000, 0.0411, grace1
cmp625, 5, Hybrid_5, 2000, 0.0012, grace1
cmp625, 5, Hybrid_10, 2000, 0.0012, grace1
cmp625, 5, Hybrid_20, 2000, 0.0012, grace1
cmp625, 5, Hybrid_30, 2000, 0.0013, grace1
cmp625, 5, Hybrid_50, 2000, 0.0015, grace1
cmp625, 5, Hybrid_100, 2000, 0.0019, grace1
cmp625, 5, Hybrid_500, 2000, 0.0073, grace1
cmp625, 5, Hybrid_1000, 2000, 0.0115, grace1
cmp625, 5, Hybrid_5000, 2000, 0.0405, grace1
cmp625, 5, NativeSorted, 2000, 0.0001, grace1
cmp625, 5, BruteForce, 5000, 0.2546, grace1
cmp625, 5, Hybrid_5, 5000, 0.0033, grace1
cmp625, 5, Hybrid_10, 5000, 0.0032, grace1
cmp625, 5, Hybrid_20, 5000, 0.0033, grace1
cmp625, 5, Hybrid_30, 5000, 0.0034, grace1
cmp625, 5, Hybrid_50, 5000, 0.0039, grace1
cmp625, 5, Hybrid_100, 5000, 0.0051, grace1
cmp625, 5, Hybrid_500, 5000, 0.0179, grace1
cmp625, 5, Hybrid_1000, 5000, 0.0370, grace1
cmp625, 5, Hybrid_5000, 5000, 0.2580, grace1
cmp625, 5, NativeSorted, 5000, 0.0004, grace1
cmp625, 5, BruteForce, 10000, 1.0331, grace1
cmp625, 5, Hybrid_5, 10000, 0.0071, grace1
cmp625, 5, Hybrid_10, 10000, 0.0069, grace1
cmp625, 5, Hybrid_20, 10000, 0.0070, grace1
cmp625, 5, Hybrid_30, 10000, 0.0073, grace1
cmp625, 5, Hybrid_50, 10000, 0.0082, grace1
cmp625, 5, Hybrid_100, 10000, 0.0111, grace1
cmp625, 5, Hybrid_500, 10000, 0.0356, grace1
cmp625, 5, Hybrid_1000, 10000, 0.0743, grace1
cmp625, 5, Hybrid_5000, 10000, 0.3524, grace1
cmp625, 5, NativeSorted, 10000, 0.0008, grace1
cmp625, 5, BruteForce, 50000, 31.4013, grace1
cmp625, 5, Hybrid_5, 50000, 0.0434, grace1
cmp625, 5, Hybrid_10, 50000, 0.0425, grace1
cmp625, 5, Hybrid_20, 50000, 0.0430, grace1
cmp625, 5, Hybrid_30, 50000, 0.0449, grace1
cmp625, 5, Hybrid_50, 50000, 0.0499, grace1
cmp625, 5, Hybrid_100, 50000, 0.0644, grace1
cmp625, 5, Hybrid_500, 50000, 0.1995, grace1
cmp625, 5, Hybrid_1000, 50000, 0.3810, grace1
cmp625, 5, Hybrid_5000, 50000, 1.9099, grace1
cmp625, 5, NativeSorted, 50000, 0.0051, grace1
cmp625, 5, BruteForce, 100000, 144.7538, grace1
cmp625, 5, Hybrid_5, 100000, 0.0889, grace1
cmp625, 5, Hybrid_10, 100000, 0.0864, grace1
cmp625, 5, Hybrid_20, 100000, 0.0873, grace1
cmp625, 5, Hybrid_30, 100000, 0.0909, grace1
cmp625, 5, Hybrid_50, 100000, 0.1006, grace1
cmp625, 5, Hybrid_100, 100000, 0.1285, grace1
cmp625, 5, Hybrid_500, 100000, 0.3859, grace1
cmp625, 5, Hybrid_1000, 100000, 0.7544, grace1
cmp625, 5, Hybrid_5000, 100000, 3.8570, grace1
cmp625, 5, NativeSorted, 100000, 0.0112, grace1
cmp625, 5, BruteForce, 500000, 3973.8115, grace1
cmp625, 5, Hybrid_5, 500000, 0.5314, grace1
cmp625, 5, Hybrid_10, 500000, 0.5355, grace1
cmp625, 5, Hybrid_20, 500000, 0.5501, grace1
cmp625, 5, Hybrid_30, 500000, 0.5497, grace1
cmp625, 5, Hybrid_50, 500000, 0.6274, grace1
cmp625, 5, Hybrid_100, 500000, 0.7628, grace1
cmp625, 5, Hybrid_500, 500000, 2.0700, grace1
cmp625, 5, Hybrid_1000, 500000, 3.7070, grace1
cmp625, 5, Hybrid_5000, 500000, 17.9732, grace1
cmp625, 5, NativeSorted, 500000, 0.0669, grace1
cmp625, 5, BruteForce, 1000000, 16316.0422, grace1
cmp625, 5, Hybrid_5, 1000000, 1.2859, grace1
cmp625, 5, Hybrid_10, 1000000, 1.2436, grace1
cmp625, 5, Hybrid_20, 1000000, 1.2225, grace1
cmp625, 5, Hybrid_30, 1000000, 1.2600, grace1
cmp625, 5, Hybrid_50, 1000000, 1.3533, grace1
cmp625, 5, Hybrid_100, 1000000, 1.6409, grace1
cmp625, 5, Hybrid_500, 1000000, 4.2377, grace1
cmp625, 5, Hybrid_1000, 1000000, 7.6435, grace1
cmp625, 5, Hybrid_5000, 1000000, 35.5398, grace1
cmp625, 5, NativeSorted, 1000000, 0.1418, grace1
cmp625, 6, BruteForce, 1000, 0.0098, grace1
cmp625, 6, Hybrid_5, 1000, 0.0005, grace1
cmp625, 6, Hybrid_10, 1000, 0.0005, grace1
cmp625, 6, Hybrid_20, 1000, 0.0005, grace1
cmp625, 6, Hybrid_30, 1000, 0.0005, grace1
cmp625, 6, Hybrid_50, 1000, 0.0006, grace1
cmp625, 6, Hybrid_100, 1000, 0.0009, grace1
cmp625, 6, Hybrid_500, 1000, 0.0034, grace1
cmp625, 6, Hybrid_1000, 1000, 0.0098, grace1
cmp625, 6, Hybrid_5000, 1000, 0.0100, grace1
cmp625, 6, NativeSorted, 1000, 0.0001, grace1
cmp625, 6, BruteForce, 2000, 0.0406, grace1
cmp625, 6, Hybrid_5, 2000, 0.0013, grace1
cmp625, 6, Hybrid_10, 2000, 0.0013, grace1
cmp625, 6, Hybrid_20, 2000, 0.0013, grace1
cmp625, 6, Hybrid_30, 2000, 0.0014, grace1
cmp625, 6, Hybrid_50, 2000, 0.0015, grace1
cmp625, 6, Hybrid_100, 2000, 0.0020, grace1
cmp625, 6, Hybrid_500, 2000, 0.0067, grace1
cmp625, 6, Hybrid_1000, 2000, 0.0108, grace1
cmp625, 6, Hybrid_5000, 2000, 0.0419, grace1
cmp625, 6, NativeSorted, 2000, 0.0001, grace1
